Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn_Label
7273-TEFQD,1,United States,California,La Puente,91746,"34.038983, -117.991372",34.038983,-117.991372,Male,Yes,No,No,3,No,No phone service,DSL,No,No,Yes
3606-TWKGI,1,United States,California,Rowland Heights,91748,"33.976753, -117.897367",33.976753,-117.89736699999999,Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes
6323-AYBRX,1,United States,California,Ontario,91762,"34.057256, -117.667677",34.057256,-117.667677,Male,No,No,No,59,Yes,No,No,No internet service,No internet service,No internet service
4385-GZQXV,1,United States,California,Ontario,91764,"34.074087, -117.605618",34.074087,-117.60561799999999,Female,Yes,No,No,16,Yes,No,Fiber optic,No,No,No
6366-ZGQGL,1,United States,California,Pomona,91766,"34.042286, -117.756106",34.042286,-117.756106,Male,No,No,No,1,No,No phone service,DSL,No,No,No
5940-AHUHD,1,United States,California,Pomona,91768,"34.067932, -117.785168",34.067932,-117.785168,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No
6432-TWQLB,1,United States,California,Rosemead,91770,"34.065108, -118.082791",34.065108,-118.08279099999999,Male,No,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No
4484-GLZOU,1,United States,California,San Dimas,91773,"34.102119, -117.815532",34.102119,-117.815532,Female,No,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes
9512-UIBFX,1,United States,California,West Covina,91791,"34.061634, -117.893169",34.061634000000005,-117.893169,Male,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes
5583-SXDAG,1,United States,California,Alhambra,91803,"34.074736, -118.145959",34.074736,-118.145959,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No
3488-PGMQJ,1,United States,California,Alpine,91901,"32.827184, -116.703729",32.827184,-116.70372900000001,Male,Yes,No,No,8,Yes,No,Fiber optic,No,Yes,No
3580-REOAC,1,United States,California,Bonita,91902,"32.67117, -117.00232",32.671170000000004,-117.00232,Male,No,No,No,10,Yes,No,DSL,No,No,No
7534-BFESC,1,United States,California,Boulevard,91905,"32.677097, -116.304991",32.677096999999996,-116.30499099999999,Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,No
6390-DSAZX,1,United States,California,Guatay,91931,"32.857946, -116.561917",32.857946000000005,-116.561917,Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No
8098-LLAZX,1,United States,California,Jacumba,91934,"32.649787, -116.2237",32.649786999999996,-116.2237,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No
0265-EDXBD,1,United States,California,Mount Laguna,91948,"32.830852, -116.444601",32.830852,-116.444601,Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No
7563-BIUPC,1,United States,California,Borrego Springs,92004,"33.200369, -116.192313",33.200369,-116.19231299999998,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No
2321-OMBXY,1,United States,California,Carlsbad,92009,"33.098018, -117.258203",33.098017999999996,-117.25820300000001,Female,No,Yes,No,38,Yes,No,DSL,Yes,Yes,No
2840-XANRC,1,United States,California,Del Mar,92014,"32.948262, -117.256086",32.948262,-117.25608600000001,Male,Yes,Yes,No,24,Yes,No,Fiber optic,No,No,Yes
5020-ZSTTY,1,United States,California,El Cajon,92020,"32.79697, -116.969082",32.79697,-116.969082,Female,Yes,No,No,54,Yes,Yes,DSL,Yes,Yes,No
5804-LEPIM,1,United States,California,Escondido,92029,"33.079834, -117.134275",33.079834000000005,-117.134275,Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No
0122-OAHPZ,1,United States,California,Oceanside,92057,"33.254497, -117.285879",33.254497,-117.28587900000001,Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No
2868-SNELZ,1,United States,California,Pala,92059,"33.384345, -117.072619",33.384345,-117.07261899999999,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,Yes
4322-RCYMT,1,United States,California,Palomar Mountain,92060,"33.309852, -116.823091",33.309852,-116.82309099999999,Male,No,Yes,No,68,Yes,Yes,DSL,No,Yes,Yes
6680-NENYN,1,United States,California,Pauma Valley,92061,"33.313828, -116.940501",33.313828,-116.940501,Female,No,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes
1343-EHPYB,1,United States,California,Ranchita,92066,"33.215251, -116.53633",33.215251,-116.53633,Male,No,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes
2034-GDRCN,1,United States,California,Valley Center,92082,"33.25283, -116.986079",33.252829999999996,-116.986079,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No
0219-YTZUE,1,United States,California,San Diego,92103,"32.747484, -117.166877",32.747484,-117.166877,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes
0623-IIHUG,1,United States,California,San Diego,92104,"32.741499, -117.127409",32.741499,-117.12740900000001,Female,Yes,No,No,21,No,No phone service,DSL,Yes,No,No
4572-DVCGN,1,United States,California,San Diego,92105,"32.741859, -117.090353",32.741859000000005,-117.09035300000001,Female,No,No,No,10,Yes,No,Fiber optic,No,No,No
9057-MSWCO,1,United States,California,San Diego,92108,"32.774046, -117.142454",32.774046000000006,-117.142454,Male,Yes,Yes,No,27,No,No phone service,DSL,Yes,No,No
1010-DIAUQ,1,United States,California,San Diego,92116,"32.765299, -117.122565",32.765299,-117.122565,Male,No,No,No,5,Yes,No,Fiber optic,No,No,Yes
0259-GBZSH,1,United States,California,San Diego,92122,"32.85723, -117.209774",32.85723,-117.209774,Male,No,No,No,2,Yes,Yes,Fiber optic,No,No,No
9601-BRXPO,1,United States,California,San Diego,92129,"32.961064, -117.134917",32.961064,-117.13491699999999,Female,No,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes
6905-NIQIN,1,United States,California,San Diego,92154,"32.578103, -117.012975",32.578103000000006,-117.012975,Male,No,No,No,1,Yes,No,DSL,No,Yes,No
5167-ZFFMM,1,United States,California,Indio,92201,"33.713891, -116.237257",33.713891,-116.237257,Male,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No
4895-TMWIR,1,United States,California,Indian Wells,92210,"33.537646, -116.291089",33.537646,-116.29108899999999,Male,Yes,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service
0533-BNWKF,1,United States,California,Palm Desert,92211,"33.762759, -116.324817",33.762759,-116.324817,Female,Yes,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes
6599-CEBNN,1,United States,California,Desert Hot Springs,92240,"33.948558, -116.516976",33.948558,-116.516976,Female,No,No,No,34,Yes,No,Fiber optic,No,Yes,No
0979-PHULV,1,United States,California,Holtville,92250,"32.811001, -115.152865",32.811001,-115.15286499999999,Male,No,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes
4800-VHZKI,1,United States,California,Niland,92257,"33.345825, -115.596574",33.345825,-115.596574,Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service
7989-CHGTL,1,United States,California,North Palm Springs,92258,"33.906496, -116.569499",33.906496000000004,-116.569499,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service
0334-GDDSO,1,United States,California,Ocotillo,92259,"32.698964, -115.886656",32.698964000000004,-115.886656,Male,Yes,No,No,3,Yes,Yes,Fiber optic,No,Yes,No
0578-SKVMF,1,United States,California,Seeley,92273,"32.790282, -115.689559",32.790282,-115.689559,Female,No,Yes,No,22,Yes,No,Fiber optic,No,Yes,No
5564-NEMQO,1,United States,California,Thermal,92274,"33.53604, -116.119222",33.53604,-116.119222,Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,Yes
9063-ZGTUY,1,United States,California,Adelanto,92301,"34.667815, -117.536183",34.667815000000004,-117.53618300000001,Female,No,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service
2957-LOLHO,1,United States,California,Apple Valley,92307,"34.55082, -117.122396",34.55082,-117.122396,Male,No,No,No,12,Yes,No,DSL,No,No,No
7752-XUSCI,1,United States,California,Crestline,92325,"34.248061, -117.29028",34.248061,-117.29028000000001,Female,No,No,No,60,Yes,Yes,Fiber optic,No,Yes,Yes
4110-PFEUZ,1,United States,California,Daggett,92327,"34.875144, -116.821698",34.875144,-116.821698,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No
0256-LTHVJ,1,United States,California,Ludlow,92338,"34.702766, -116.093376",34.702766,-116.093376,Female,No,Yes,No,28,Yes,No,Fiber optic,No,No,No
0880-TKATG,1,United States,California,Lucerne Valley,92356,"34.508417, -116.856103",34.508417,-116.856103,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes
3811-VBYBZ,1,United States,California,Lytle Creek,92358,"34.238162, -117.534306",34.238162,-117.534306,Male,No,No,No,7,Yes,Yes,Fiber optic,No,Yes,No
4640-UHDOS,1,United States,California,Phelan,92371,"34.441123, -117.537886",34.441123,-117.53788600000001,Female,No,Yes,No,13,Yes,No,DSL,No,No,No
3583-EKAPL,1,United States,California,Redlands,92373,"34.003243, -117.138286",34.003243,-117.13828600000001,Male,No,No,No,1,Yes,No,DSL,No,No,No
9399-APLBT,1,United States,California,Rialto,92377,"34.156758, -117.404686",34.156758,-117.40468600000001,Female,No,Yes,No,1,Yes,No,Fiber optic,No,Yes,No
2359-KMGLI,1,United States,California,Running Springs,92382,"34.186211, -117.07683",34.186211,-117.07683,Male,No,No,No,24,Yes,Yes,Fiber optic,No,Yes,No
0306-JAELE,1,United States,California,Tecopa,92389,"35.824572, -116.274755",35.824571999999996,-116.274755,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No
6227-HWPWX,1,United States,California,Victorville,92392,"34.486835, -117.362274",34.486835,-117.362274,Female,No,No,No,15,Yes,No,Fiber optic,No,No,No
0447-BEMNG,1,United States,California,Wrightwood,92397,"34.358321, -117.618263",34.358321000000004,-117.61826299999998,Female,No,Yes,No,48,No,No phone service,DSL,Yes,No,Yes
5949-XIKAE,1,United States,California,San Bernardino,92401,"34.105935, -117.2914",34.105934999999995,-117.2914,Female,No,Yes,No,8,Yes,No,Fiber optic,No,Yes,No
8372-JUXUI,1,United States,California,San Bernardino,92410,"34.106922, -117.297553",34.106922,-117.29755300000001,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No
0388-EOPEX,1,United States,California,Riverside,92503,"33.890046, -117.455583",33.890046000000005,-117.455583,Female,No,Yes,No,2,Yes,No,Fiber optic,Yes,No,No
8205-OTCHB,1,United States,California,Riverside,92506,"33.930931, -117.361788",33.930931,-117.36178799999999,Male,No,No,No,22,No,No phone service,DSL,No,Yes,Yes
6235-VDHOM,1,United States,California,Riverside,92509,"34.004379, -117.447864",34.004379,-117.447864,Female,Yes,No,No,5,No,No phone service,DSL,No,Yes,No
7783-YKGDV,1,United States,California,March Air Reserve Base,92518,"33.888323, -117.277533",33.888323,-117.277533,Female,No,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,Yes
5609-CEBID,1,United States,California,Hemet,92544,"33.644585, -116.871544",33.644585,-116.871544,Female,Yes,No,No,20,Yes,Yes,Fiber optic,No,Yes,Yes
7218-HKQFK,1,United States,California,Homeland,92548,"33.761894, -117.120868",33.761894,-117.12086799999999,Male,No,Yes,No,2,Yes,No,Fiber optic,No,No,No
4636-QRJKY,1,United States,California,Idyllwild,92549,"33.755039, -116.741796",33.755039000000004,-116.741796,Female,No,Yes,No,6,Yes,Yes,Fiber optic,No,No,No
5956-VKDTT,1,United States,California,Moreno Valley,92557,"33.970661, -117.255039",33.970661,-117.255039,Female,Yes,Yes,No,5,Yes,Yes,Fiber optic,No,No,No
9412-GHEEC,1,United States,California,Murrieta,92563,"33.581045, -117.14719",33.581045,-117.14719,Male,No,No,No,40,Yes,Yes,Fiber optic,No,No,Yes
0257-ZESQC,1,United States,California,Perris,92571,"33.828289, -117.201666",33.828289,-117.20166599999999,Female,Yes,Yes,No,27,Yes,No,Fiber optic,Yes,No,No
6825-UYPFK,1,United States,California,Sun City,92586,"33.707483, -117.200006",33.707483,-117.200006,Female,No,No,No,23,Yes,Yes,Fiber optic,No,No,No
8397-MVTAZ,1,United States,California,Sun City,92587,"33.69887, -117.25071",33.69887,-117.25071000000001,Male,No,Yes,No,34,Yes,Yes,Fiber optic,No,No,Yes
9282-IZGQK,1,United States,California,Irvine,92612,"33.643095, -117.810896",33.643095,-117.810896,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No
1342-JPNKI,1,United States,California,Lake Forest,92630,"33.644849, -117.684254",33.644849,-117.68425400000001,Male,No,No,No,10,Yes,Yes,Fiber optic,No,No,No
2817-NTQDO,1,United States,California,Huntington Beach,92646,"33.666301, -117.969501",33.666301000000004,-117.969501,Male,No,No,No,13,No,No phone service,DSL,Yes,No,No
6986-IJDHX,1,United States,California,Huntington Beach,92648,"33.679659, -118.016195",33.679659,-118.016195,Male,No,Yes,No,39,Yes,No,Fiber optic,No,Yes,No
5301-GAUUY,1,United States,California,Newport Beach,92661,"33.601309, -117.902304",33.601309,-117.902304,Male,No,No,No,32,Yes,Yes,Fiber optic,No,Yes,No
0939-YAPAF,1,United States,California,Santa Ana,92701,"33.748478, -117.858918",33.748478000000006,-117.85891799999999,Female,No,No,No,35,Yes,Yes,Fiber optic,No,No,Yes
4710-FDUIZ,1,United States,California,Santa Ana,92707,"33.714829, -117.872941",33.714828999999995,-117.872941,Male,No,Yes,No,56,Yes,Yes,Fiber optic,No,Yes,No
1218-VKFPE,1,United States,California,Anaheim,92805,"33.830209, -117.906099",33.830209,-117.906099,Female,No,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service
3627-FHKBK,1,United States,California,Anaheim,92806,"33.83796, -117.870494",33.837959999999995,-117.870494,Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No
2865-TCHJW,1,United States,California,Anaheim,92807,"33.848733, -117.788357",33.848733,-117.788357,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,Yes
5192-EBGOV,1,United States,California,Brea,92823,"33.924143, -117.79387",33.924143,-117.79387,Female,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No
0719-SYFRB,1,United States,California,Norco,92860,"33.925833, -117.559639",33.925833000000004,-117.55963899999999,Female,No,No,No,12,Yes,Yes,DSL,Yes,No,Yes
3419-SNJJD,1,United States,California,Yorba Linda,92887,"33.884073, -117.732197",33.884073,-117.732197,Female,Yes,Yes,No,65,Yes,Yes,Fiber optic,Yes,No,Yes
6543-CPZMK,1,United States,California,Ventura,93001,"34.360261, -119.306383",34.360261,-119.30638300000001,Male,No,Yes,No,9,No,No phone service,DSL,No,Yes,No
4765-OXPPD,1,United States,California,Ventura,93003,"34.279221, -119.221437",34.279221,-119.22143700000001,Female,No,Yes,No,9,Yes,No,DSL,Yes,Yes,Yes
1009-IRMNA,1,United States,California,Port Hueneme,93041,"34.110124, -119.100972",34.110124,-119.100972,Female,No,No,No,7,Yes,No,No,No internet service,No internet service,No internet service
4554-YGZIH,1,United States,California,Summerland,93067,"34.420998, -119.60137",34.420998,-119.60136999999999,Male,Yes,Yes,No,49,Yes,Yes,Fiber optic,No,Yes,No
5099-BAILX,1,United States,California,Santa Barbara,93101,"34.419203, -119.710008",34.419203,-119.710008,Male,Yes,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,Yes
7207-RMRDB,1,United States,California,Santa Barbara,93110,"34.437945, -119.77191",34.437945,-119.77191,Female,No,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes
4913-EHYUI,1,United States,California,Alpaugh,93201,"35.869626, -119.498771",35.869626000000004,-119.49877099999999,Male,Yes,Yes,No,56,Yes,Yes,Fiber optic,Yes,No,Yes
0195-IESCP,1,United States,California,Armona,93202,"36.315979, -119.710852",36.315979,-119.710852,Male,No,Yes,No,10,Yes,Yes,Fiber optic,No,No,No
4580-TMHJU,1,United States,California,Avenal,93204,"35.916943, -120.129921",35.916942999999996,-120.129921,Female,No,Yes,No,43,Yes,No,DSL,No,No,No
0970-ETWGE,1,United States,California,Bodfish,93205,"35.523991, -118.400432",35.523990999999995,-118.40043200000001,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No
1626-ERCMM,1,United States,California,Camp Nelson,93208,"36.057458, -118.591951",36.057458000000004,-118.591951,Male,Yes,Yes,No,20,Yes,Yes,Fiber optic,No,No,No
0887-HJGAR,1,United States,California,Coalinga,93210,"36.186867, -120.387793",36.186867,-120.38779299999999,Male,No,No,No,1,Yes,No,DSL,No,No,No
5644-PDMZC,1,United States,California,Delano,93215,"35.772244, -119.209689",35.772244,-119.20968899999998,Female,Yes,No,No,2,Yes,Yes,Fiber optic,No,Yes,No
9576-ANLXO,1,United States,California,Earlimart,93219,"35.858054, -119.305858",35.858053999999996,-119.305858,Female,No,No,No,3,Yes,No,Fiber optic,No,No,No
